国家名称,事件ID,事件名称,重要性,fluctuate,trend,shock,up_value,up_prob,count,时间
日本,392050001,劳动力现金收益年率 y/y,1,28.48,12.2,0.57,0.98,0.22,74,2022.05.08 23:30
日本,392060019,日本央行货币政策会议纪要,2,13.52,3.19,0.74,2.35,-0.04,25,2022.05.08 23:50
韩国,410010002,经常帐,1,7.02,3.86,0.33,1.17,0.38,29,2022.05.09 23:00
韩国,410020007,失业率,2,14.91,5.87,0.22,5.16,0.38,29,2022.05.10 23:00
日本,392070007,国际储备,1,7.17,0.85,0.69,-0.19,-0.03,37,2022.05.10 23:50
日本,392070005,经常帐 n.s.a.,2,13.96,1.14,0.7,-0.01,0.19,37,2022.05.11 23:50
日本,392070003,国外债券投资,1,8.37,0.81,0.72,-0.26,-0.09,159,2022.05.11 23:50
日本,392060021,日本央行意见总结,2,12.18,0.89,0.72,-0.58,-0.36,25,2022.05.11 23:50
日本,392060013,BoJ 银行贷款年率 y/y,1,13.78,1.31,0.68,-0.33,0.0,36,2022.05.11 23:50
日本,392060012,BoJ M2 货币存量年率 y/y,1,10.49,0.94,0.7,0.16,0.05,38,2022.05.12 23:50
日本,392060014,BoJ 企业商品价格指数月率 m/m,2,7.75,1.09,0.68,-0.61,-0.32,38,2022.05.15 23:50
日本,392010001,国内生产总值季率 q/q,3,20.31,0.9,0.71,0.06,0.31,26,2022.05.17 23:50
日本,392010009,核心机械订单月率m/m,1,11.53,0.91,0.69,-0.33,-0.03,39,2022.05.18 23:50
日本,392040001,贸易帐（未季调）,2,13.0,0.66,0.76,-0.25,-0.28,39,2022.05.18 23:50
澳大利亚,36030028,RBA行长助理Kent讲话,2,12.76,16.1,-0.71,-3.82,-0.09,11,2022.05.22 23:05
澳大利亚,36500001,S&P全球制造业PMI,2,4.78,2.79,0.53,1.81,0.3,43,2022.05.23 23:00
澳大利亚,36500002,S&P全球服务业PMI,2,5.14,2.73,0.55,1.97,0.26,43,2022.05.23 23:00
美国,840050004,FOMC 会议纪要,2,6.17,2.41,0.57,-0.68,0.08,26,2022.05.25 18:00
日本,392060016,BoJ 企业服务价格年率 y/y,1,9.31,0.87,0.69,-0.14,-0.14,35,2022.05.25 23:50
新加坡,702010004,国内生产总值季率 q/q,3,34.87,19.43,-0.25,-1.54,-0.17,65,2022.05.26 00:00
韩国,410020005,零售销售指数月率 m/m,2,28.09,11.54,0.36,-3.95,0.35,34,2022.05.30 23:00
日本,392020006,工业生产指数月率m/m,2,10.26,0.78,0.77,-0.26,0.0,38,2022.05.30 23:50
日本,392020002,零售销售指数月率 m/m,3,10.16,0.88,0.75,-0.25,0.0,38,2022.05.30 23:50
日本,392070002,资本消费年率 y/y,2,22.14,0.94,0.71,-0.24,-0.23,13,2022.05.31 23:50
韩国,410030003,贸易帐,2,61.52,29.34,-0.16,-1.9,-0.14,172,2022.06.01 00:00
日本,392060011,BoJ 货币基数年率 y/y,1,7.46,0.81,0.69,0.09,0.14,37,2022.06.01 23:50
韩国,410500001,S&P全球制造业PMI,2,58.75,30.88,0.55,-2.57,0.13,87,2022.06.02 00:30
韩国,410010005,外汇储备,1,6.38,5.68,-0.08,5.25,0.26,19,2022.06.06 21:00
日本,392070001,BSI 大型制造业条件,2,8.26,0.82,0.78,0.01,0.08,13,2022.06.12 23:50
美国,840050014,美联储利率决议,3,9.55,4.71,0.46,0.92,0.31,26,2022.06.15 18:00
美国,840050003,FOMC 经济预测,2,11.7,6.0,0.45,1.97,0.5,12,2022.06.15 18:00
美国,840050018,联邦公开市场委员会(FOMC)新闻发布会,3,9.6,5.29,0.49,-1.3,0.04,27,2022.06.15 18:30
巴西,76020002,BCB利率决策,3,8.46,2.82,-0.26,2.18,0.08,13,2022.06.15 21:00
日本,392060008,BoJ 短观大型制造业指数,3,12.19,0.8,0.71,-0.64,-0.54,13,2022.06.30 23:50
新西兰,554040002,ANZ商业信心指数,2,53.98,25.31,-0.45,-4.73,0.12,66,2022.09.29 00:00
新西兰,554040001,ANZ商品价格指数月率m/m,1,53.72,27.4,0.09,-0.55,0.01,69,2022.10.06 00:00
美国,840020006,批发库存指数月率m/m,1,5.3,2.9,0.34,1.0,0.12,16,2022.11.09 15:00
美国,840210001,密歇根消费者信心指数,2,4.71,2.88,0.47,0.06,0.07,28,2022.11.11 15:00
美国,840020007,商业库存指数月率 m/m,2,4.23,1.83,0.54,-0.62,-0.38,13,2022.11.16 15:00
美国,840180001,CB领先经济指数月率m/m,1,4.03,2.01,0.55,0.56,0.38,13,2022.11.18 15:00
美国,840290002,里士满联储制造业指数,1,4.68,2.55,0.46,-1.56,-0.54,13,2022.11.22 15:00
美国,840020008,新屋销售量,3,4.36,2.32,0.49,-1.17,-0.08,13,2022.11.23 15:00
美国,840180002,CB消费者信心指数,3,4.77,2.52,0.46,-0.76,-0.23,13,2022.11.29 15:00
美国,840060003,达拉斯联储服务业收入,1,4.11,2.5,0.45,0.22,0.23,13,2022.11.29 15:30
美国,840120003,成屋销售指数月率 m/m,3,4.0,2.39,0.37,0.22,0.23,13,2022.11.30 15:00
美国,840030021,JOLTS 职位空缺,3,4.21,2.04,0.47,1.33,0.43,14,2022.11.30 15:00
美国,840020002,建筑支出月率 m/m,1,5.22,2.85,0.49,-0.02,0.0,14,2022.12.01 15:00
美国,840040001,ISM 制造业PMI,3,4.82,2.46,0.48,0.37,-0.14,14,2022.12.01 15:00
美国,840040003,ISM 非制造业 PMI,3,4.9,2.26,0.57,1.16,0.2,15,2022.12.03 15:00
